aphia,species,phylum,class,rec_usa,cells_usa,min_year_usa,max_year_usa,in_v9,has_rng,mp_sdm
334727,Schistomeringos annulata,Annelida,Polychaeta,142,31,1973,2003,FALSE,FALSE,NA
329960,Ninoe tridentata,Annelida,Polychaeta,36,31,1987,2019,FALSE,FALSE,NA
214332,Chnoospora minima,Ochrophyta,Phaeophyceae,114,31,1943,2006,FALSE,FALSE,NA
113077,Cassidulina laevigata,Foraminifera,Globothalamea,71,31,1980,2021,FALSE,FALSE,available
404477,Acanthinucella spirata,Mollusca,Gastropoda,42,31,1956,2003,FALSE,FALSE,NA
275329,Ictalurus furcatus,Chordata,Teleostei,708,31,1970,2013,FALSE,FALSE,NA
495068,Jania subulata,Rhodophyta,Florideophyceae,152,31,1908,2010,FALSE,FALSE,NA
366786,Pagurus samuelis,Arthropoda,Malacostraca,59,31,1972,2023,FALSE,FALSE,NA
158417,Hemigrapsus sanguineus,Arthropoda,Malacostraca,77,31,2000,2018,FALSE,FALSE,available
1116761,Trachythela rudis,Cnidaria,Octocorallia,207,31,1885,2019,FALSE,FALSE,available
283565,Halcampa decemtentaculata,Cnidaria,Hexacorallia,32,31,1979,2006,FALSE,FALSE,NA
113341,Hoeglundina elegans,Foraminifera,Globothalamea,101,31,1978,1997,FALSE,FALSE,available
183413,Scleroptilum grandiflorum,Cnidaria,Octocorallia,88,31,1883,1986,FALSE,FALSE,not available
103740,Chelyosoma macleayanum,Chordata,Ascidiacea,48,31,1978,2017,FALSE,FALSE,available
1255501,Wecomedon nobilis,Arthropoda,Malacostraca,55,31,1954,2006,FALSE,FALSE,NA
130044,Schistomeringos neglecta,Annelida,Polychaeta,204,31,1975,1978,FALSE,FALSE,available
128252,Roundstonia globulifera,Arthropoda,Ostracoda,32,31,NA,NA,FALSE,FALSE,available
547044,Deflexilodes intermedius,Arthropoda,Malacostraca,60,31,1973,2008,FALSE,FALSE,available
125413,Thouarella (Euthouarella) hilgendorfi,Cnidaria,Octocorallia,532,31,1906,2019,FALSE,FALSE,available
731610,Mesokalliapseudes macsweenyi,Arthropoda,Malacostraca,46,31,1981,2015,FALSE,FALSE,NA
420128,Gibberula catenata,Mollusca,Gastropoda,82,31,1938,2010,FALSE,FALSE,NA
821610,Polycirrus dubius,Annelida,Polychaeta,39,31,1975,2015,FALSE,FALSE,NA
330781,Pista percyi,Annelida,Polychaeta,47,31,2003,2003,FALSE,FALSE,NA
156629,Coscinodiscus marginatus,Heterokontophyta,Bacillariophyceae,78,31,1964,2013,FALSE,FALSE,available
